date,floor_price_eth,floor_7d_avg,total_volume,trade_count,volume_7d_avg,trade_7d_avg
2023-10-08 00:00:00+00:00,5.07,4.922714285714286,73.1474,14,235.92786937372577,44.85714285714285
2023-10-09 00:00:00+00:00,4.81,4.9512857142857145,185.665735678392,37,245.86195401119883,46.71428571428572
2023-10-10 00:00:00+00:00,4.9,4.984142857142857,196.78629,39,262.68706686834173,50.0
2023-10-11 00:00:00+00:00,4.97,4.981428571428571,156.03,31,251.0871668683417,48.42857142857143
2023-10-12 00:00:00+00:00,4.92,4.9,330.2411,66,277.9403382969131,54.285714285714285
2023-10-13 00:00:00+00:00,4.76,4.89,336.81,66,246.4897023683417,48.57142857142857
2023-10-14 00:00:00+00:00,4.87,4.9,75.16,11,193.40578938262743,37.71428571428572
2023-10-15 00:00:00+00:00,4.96,4.884285714285714,238.73789898,45,217.06157495119888,42.142857142857146
2023-10-16 00:00:00+00:00,5.0845,4.9235,179.2061,33,216.13876985428573,41.57142857142857
2023-10-17 00:00:00+00:00,5.21,4.967785714285715,437.9682,82,250.5933284257143,47.71428571428572
2023-10-18 00:00:00+00:00,5.01,4.9735000000000005,269.8279,52,266.8501712828572,50.71428571428572
2023-10-19 00:00:00+00:00,0.06,4.279214285714286,520.9979,105,294.10114271142857,56.285714285714285
2023-10-20 00:00:00+00:00,5.02,4.316357142857142,167.15,33,269.8639998542857,51.57142857142857
2023-10-21 00:00:00+00:00,5.03,4.339214285714286,334.39,61,306.8968569971429,58.71428571428572
2023-10-22 00:00:00+00:00,4.8098,4.317757142857142,435.2198,84,334.9657,64.28571428571429
2023-10-23 00:00:00+00:00,4.93,4.295685714285715,301.179499,59,352.3904712857143,68.0
2023-10-24 00:00:00+00:00,4.86,4.245685714285714,389.2909999,79,345.43658555714285,67.57142857142857
2023-10-25 00:00:00+00:00,4.82,4.2185428571428565,102.7208,21,321.56414270000005,63.142857142857146
2023-10-26 00:00:00+00:00,4.8,4.895685714285714,326.3916,65,293.7632427,57.42857142857143
2023-10-27 00:00:00+00:00,4.98,4.889971428571428,532.8561,106,346.00697127142854,67.85714285714286
2023-10-28 00:00:00+00:00,4.5,4.814257142857143,228.8669,45,330.9322427,65.57142857142857
2023-10-29 00:00:00+00:00,5.01,4.842857142857143,136.29,27,288.22798555714286,57.42857142857143
2023-10-30 00:00:00+00:00,5.0,4.852857142857142,102.2282,20,259.8063714142857,51.85714285714285
2023-10-31 00:00:00+00:00,5.0,4.872857142857143,47.23,9,210.94051428571427,41.85714285714285
2023-11-01 00:00:00+00:00,4.9878,4.896828571428571,120.655199,24,213.50257128571428,42.285714285714285
2023-11-02 00:00:00+00:00,4.91,4.912542857142857,99.4374,20,181.08054271428568,35.857142857142854
2023-11-03 00:00:00+00:00,4.8,4.886828571428572,174.7996,36,129.92961414285713,25.857142857142858
2023-11-04 00:00:00+00:00,4.82,4.932542857142857,101.9348,19,111.796457,22.142857142857142
2023-11-05 00:00:00+00:00,4.76,4.896828571428571,82.9995,17,104.18352842857142,20.714285714285715
2023-11-06 00:00:00+00:00,4.76,4.8625428571428575,227.520964,47,122.08249471428572,24.571428571428573
2023-11-07 00:00:00+00:00,4.9,4.848257142857143,350.14232985326635,70,165.35568469332378,33.285714285714285
2023-11-08 00:00:00+00:00,2.3518,4.471685714285714,190.5968,31,175.34734197903805,34.285714285714285
2023-11-09 00:00:00+00:00,5.0,4.4845428571428565,593.716235678392,113,245.9586042188083,47.57142857142857
2023-11-10 00:00:00+00:00,4.94,4.504542857142857,229.9373,45,253.8354185045226,48.85714285714285
2023-11-11 00:00:00+00:00,5.11,4.545971428571429,239.8806,45,273.54196136166547,52.57142857142857
2023-11-12 00:00:00+00:00,5.1675,4.604185714285714,286.73059999000003,55,302.64640421737977,58.0
2023-11-13 00:00:00+00:00,5.15,4.6599,242.5737,46,304.7967950745225,57.85714285714285
