date,floor_price_eth,floor_7d_avg,total_volume,trade_count,volume_7d_avg,trade_7d_avg
2025-01-01 00:00:00+00:00,20.3,21.49,500.5992,22,11529.754144422855,22.714285714285715
2025-01-02 00:00:00+00:00,21.9533,21.536185714285715,337.2144,14,412.7833015657157,17.857142857142858
2025-01-03 00:00:00+00:00,21.45,21.40047142857143,445.4019989,20,373.44207998,16.285714285714285
2025-01-04 00:00:00+00:00,21.46,21.294757142857144,370.3677,16,400.74032283714286,17.428571428571427
2025-01-05 00:00:00+00:00,21.85,21.27332857142857,704.5600999,30,479.2603371085714,20.714285714285715
2025-01-06 00:00:00+00:00,23.28,21.634757142857143,1066.14608788,43,578.7069639485715,24.428571428571427
2025-01-07 00:00:00+00:00,25.43,22.246185714285712,1143.23639,41,652.5036966685714,26.571428571428573
2025-01-08 00:00:00+00:00,25.26,22.954757142857144,691.8594,25,679.8265823828572,27.0
2025-01-09 00:00:00+00:00,23.51,23.177142857142854,1023.1671,41,777.81982524,30.857142857142858
2025-01-10 00:00:00+00:00,23.7724,23.50891428571429,427.7266,17,775.2947682542856,30.428571428571427
2025-01-11 00:00:00+00:00,24.5,23.9432,325.27,12,768.8522396828572,29.857142857142858
2025-01-12 00:00:00+00:00,23.38,24.16177142857143,382.307396799969,16,722.8161392399956,27.857142857142858
2025-01-13 00:00:00+00:00,21.56,23.916057142857145,935.1966,41,704.1090695428528,27.571428571428573
2025-01-14 00:00:00+00:00,22.77,23.536057142857143,350.17396354,15,590.8144371914242,23.857142857142858
2025-01-15 00:00:00+00:00,22.81,23.186057142857145,502.8537,20,563.8136229057098,23.142857142857142
2025-01-16 00:00:00+00:00,23.31,23.157485714285716,531.2433,22,493.5387943342813,20.428571428571427
2025-01-17 00:00:00+00:00,22.9,23.032857142857143,386.5698,16,487.6592514771384,20.285714285714285
2025-01-18 00:00:00+00:00,19.7,22.347142857142853,1199.2652,56,612.5157086199955,26.571428571428573
2025-01-19 00:00:00+00:00,19.06,21.73,586.3562,29,641.6655376485714,28.428571428571427
2025-01-20 00:00:00+00:00,17.64,21.17,881.71279,46,634.0249933628571,29.142857142857142
2025-01-21 00:00:00+00:00,19.07,20.641428571428573,407.2828,20,642.1833985714285,29.857142857142858
2025-01-22 00:00:00+00:00,19.62,20.185714285714287,412.90749,19,629.3339400000001,29.714285714285715
2025-01-23 00:00:00+00:00,18.67,19.52285714285714,690.19099899,34,652.0407541414286,31.428571428571427
2025-01-24 00:00:00+00:00,16.52,18.61142857142857,1118.120299999,64,756.547968427,38.285714285714285
2025-01-25 00:00:00+00:00,14.452,17.86171428571429,1856.98407559999,113,850.5078077984272,46.42857142857143
2025-01-26 00:00:00+00:00,16.35,17.47457142857143,436.916099,25,829.1592219412843,45.85714285714285
2025-01-27 00:00:00+00:00,12.11,16.684571428571427,1444.7984,103,909.6000233698558,54.0
2025-01-28 00:00:00+00:00,10.51,15.461714285714288,1843.30703848984,159,1114.746343154119,73.85714285714286
2025-01-29 00:00:00+00:00,10.46,14.153142857142855,1137.03526888,95,1218.193168708404,84.71428571428571
2025-01-30 00:00:00+00:00,10.9,13.043142857142858,702.0497,61,1219.88726885269,88.57142857142857
2025-01-31 00:00:00+00:00,10.8,12.226,501.5682501,42,1131.8084045814044,85.42857142857143
2025-02-01 00:00:00+00:00,10.65,11.682857142857143,589.4399505,52,950.7306724242628,76.71428571428571
2025-02-02 00:00:00+00:00,9.51,10.705714285714285,961.7688498,94,1025.7096368242628,86.57142857142857
2025-02-03 00:00:00+00:00,9.25,10.297142857142855,1286.3962317901,124,1003.08075565142,89.57142857142857
2025-02-04 00:00:00+00:00,10.18,10.25,589.8012999999,55,824.0085072957144,74.71428571428571
2025-02-05 00:00:00+00:00,10.41,10.242857142857144,278.6189799,26,701.3776088699999,64.85714285714286
2025-02-06 00:00:00+00:00,9.62,10.06,437.115,42,663.5297945842858,62.142857142857146
2025-02-07 00:00:00+00:00,9.53,9.87857142857143,553.6025999,55,670.9632731271429,64.0
2025-02-08 00:00:00+00:00,9.7,9.742857142857144,338.099998698,34,635.0575657268572,61.42857142857143
2025-02-09 00:00:00+00:00,9.73,9.774285714285712,276.4836,28,537.1596728982857,52.0
2025-02-10 00:00:00+00:00,9.83,9.857142857142858,268.8943279,26,391.8022580568428,38.0
2025-02-11 00:00:00+00:00,10.09,9.844285714285714,455.7695,44,372.6548580568572,36.42857142857143
2025-02-12 00:00:00+00:00,9.97,9.781428571428572,313.748,31,377.6732894997143,37.142857142857146
